"Node Id","Route No","Chainage Seq","Route Link No","Chainage"
"574","146536","1","146536801","126"
"574","198897","2","198897801","0"
"574","199796","3","199796801","376"
"576","101998","1","101998801","0"
"576","226957","2","226957801","395"
"578","2510","1","25100207","4345"
"578","5440","2","54408001","24"
"581","5294","1","52948001","916"
"581","119972","2","119972801","0"
"582","5294","1","52948001","1077"
"582","192257","2","192257801","0"
"583","5873","1","58738001","1470"
"583","165579","2","165579801","466"
"585","5801","1","58018001","3743"
"585","188645","2","188645801","0"
"586","5089","1","50898001","1179"
"586","5310","2","53108001","457"
"587","2510","1","25100307","8960"
"587","5310","2","53108001","0"
"590","5310","1","53108001","1100"
"590","5801","2","58018001","4344"
"591","5310","1","53108001","3706"
"591","119707","2","119707801","275"
"592","5441","1","54418001","1357"
"592","121735","2","121735801","0"
"596","2510","1","25100305","9911"
"596","193908","2","193908801","58"
"597","193907","1","193907801","395"
"597","193908","2","193908801","0"
"597","193909","3","193909801","0"
"598","105773","1","105773801","217"
"598","122543","2","122543801","0"
"599","2000","1","20001101","1020"
"599","2750","2","27508003","25"
"600","5699","1","56998001","4510"
"600","101134","2","101134801","556"
"601","5699","1","56998001","4760"
"601","197258","2","197258801","0"
"602","5801","1","58018001","6000"
"602","110598","2","110598801","0"
"604","5592","1","55928001","2696"
"604","147083","2","147083801","0"
"604","151941","3","151941801","0"
"605","2000","1","20001212","3588"
"605","5801","2","58018001","6983"
"607","5292","1","52928002","3547"
"607","166948","2","166948801","0"
"609","2070","1","20708001","14300"
"610","2070","1","20708001","14780"
"610","2750","2","27508003","4960"
"610","5843","3","58438002","16090"
"612","2750","1","27500202","7127"
"612","5320","2","53208001","627"
"614","210127","1","210127801","430"
"614","211907","2","211907801","322"
"615","5802","1","58028001","8007"
"615","179029","2","179029801","0"
"616","5801","1","58018001","14741"
"616","168666","2","168666801","0"
"617","5307","1","53078001","5565"
"617","5801","2","58018001","15072"
"618","2810","1","28100201","0"
"618","2999","2","29990201","13973"
"618","5824","3","58240301","6619"
"620","5307","1","53078001","8598"
"620","156534","2","156534801","382"
"621","5802","1","58028001","9005"
"621","136947","2","136947801","509"
"622","5801","1","58018001","16463"
"622","218680","2","218680801","498"
"626","2400","1","24008001","33471"
"626","5801","2","58018001","16712"
"627","2400","1","24008001","29020"
"627","5802","2","58028001","10174"
"628","2750","1","27500202","14085"
"628","188688","2","188688801","26"
"632","5783","1","57838001","2556"
"632","241097","2","241097801","74"
"633","101731","1","101731801","686"
"633","112846","2","112846801","0"
"634","2750","1","27500302","17363"
"634","196125","2","196125801","80"
"635","5783","1","57838001","4157"
"635","5796","2","57968001","3060"
"635","261476","3","261476801","0"
"638","5422","1","54228001","6136"
"638","5783","2","57838001","6226"
"639","5422","1","54228001","4721"
"639","135249","2","135249801","199"
"641","5920","1","59208001","8856"
"641","145255","2","145255801","0"
"641","156201","3","156201801","58"
"643","5783","1","57838001","8127"
"643","104804","2","104804801","1392"
"644","5920","1","59208001","9737"
"644","145688","2","145688801","223"
"651","4991","1","49918001","7900"
"651","181533","2","181533801","170"
"652","4991","1","49918001","7495"
"652","204227","2","204227801","211"
"654","4991","1","49918001","12485"
"654","223292","2","223292801","558"
"656","4016","1","40168001","0"
"656","4991","2","49918001","11374"
"663","5840","1","58408001","9815"
"663","193919","2","193919801","0"
"663","239669","3","239669801","47"
"664","5840","1","58408001","9727"
"664","124308","2","124308801","0"
"665","5840","1","58408001","10524"
"665","167392","2","167392801","0"
"665","239568","3","239568801","142"
"666","5840","1","58408001","10380"
"666","264275","2","264275801","0"
"667","2660","1","26600302","3282"
"667","5297","2","52978001","1690"
"669","149773","1","149773801","761"
"669","197187","2","197187801","0"
"670","149773","1","149773801","492"
"670","220436","2","220436801","0"
"671","154694","1","154694801","0"
"671","197186","2","197186801","153"
"673","2660","1","26600202","5018"
"673","147806","2","147806801","0"
"673","181224","3","181224801","1709"
"675","5296","1","52968001","1332"
"675","197187","2","197187801","773"
"676","123209","1","123209801","913"
"676","184866","2","184866801","0"
"676","244835","3","244835801","182"
"679","147806","1","147806801","619"
"679","170382","2","170382801","229"
"680","2060","1","20608001","524"
"680","170382","2","170382801","0"
"681","5299","1","52998001","1038"
"681","161938","2","161938801","137"
"681","177235","3","177235801","0"
"682","2660","1","26600432","7586"
"682","124009","2","124009801","0"
"685","114070","1","114070801","1618"
"685","149773","2","149773801","3596"
"686","5304","1","53048001","2544"
"686","176620","2","176620801","428"
"688","134558","1","134558801","0"
"688","217870","2","217870801","213"
"692","104944","1","104944801","0"
"692","123209","2","123209801","633"
"692","226402","3","226402801","0"
"694","5303","1","53038001","1118"
"694","109991","2","109991801","0"
"695","2400","1","24000303","0"
