"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"12001026003 ","35326","104148"
"12001026079 ","587","5653"
"12001026141 ","47129","9523"
"12001026196 ","29372","9209"
"12001026414 ","37916","9186"
"12001026709 ","85","1005"
"12001026728 ","46284","106082"
"12001026787 ","35408","9510"
"12001026795 ","37618","106083"
"12001026822 ","119","9473"
"12001026917 ","40153","5561"
"12001027051 ","36207","9253"
"12001027120 ","29887","1002"
"12001027130 ","134377","5435"
"12001027286 ","222083","1002"
"12001027401 ","29387","9395"
"12001027428 ","29893","1001"
"12001027493 ","42750","6234"
"12001027496 ","46519","5510"
"12001027654 ","36858","9413"
"12001027899 ","37624","106078"
"12001027918 ","36932","9400"
"12001028047 ","40091","9515"
"12001028107 ","47183","9343"
"12001028136 ","47157","101752"
"12001028165 ","29887","1002"
"12001028181 ","57585","6103"
"12001028203 ","29893","1001"
"12001028290 ","36287","9316"
"12001028291 ","36974","9355"
"12001028303 ","169","9305"
"12001028314 ","41480","5936"
"12001028356 ","29375","9241"
"12001028860 ","37763","5450"
"12001028861 ","29386","9210"
"12001028867 ","29592","9519"
"12001028875 ","40110","102496"
"12001028974 ","47248","1001"
"12001028974 ","47248","9285"
"12001029021 ","22","9260"
"12001029025 ","47249","9319"
"12001029191 ","36261","9315"
"12001029394 ","41269","5722"
"12001029416 ","42744","6221"
"12001029516 ","37600","9505"
"12001029550 ","36220","9200"
"12001029590 ","22","9260"
"12001029604 ","36221","9233"
"12001029749 ","41155","102285"
"12001030282 ","37788","5457"
"12001030457 ","36782","6448"
"12001030765 ","37572","102300"
"12001030792 ","29372","9209"
"12001030820 ","42738","100931"
"12001030900 ","83","9299"
"12001030917 ","37888","9195"
"12001031108 ","36210","9279"
"12001031122 ","57542","5771"
"12001031122 ","57542","104334"
"12001031221 ","37065","9378"
"12001031252 ","37248","9339"
"12001031276 ","41406","105931"
"12001031290 ","57542","5771"
"12001031290 ","57542","104334"
"12001031313 ","37179","9427"
"12001031542 ","47189","106080"
"12001031585 ","45642","9183"
"12001031613 ","29416","9375"
"12001031644 ","47195","6180"
"12001031662 ","41117","9555"
"12001031694 ","37585","9474"
"12001031699 ","40035","9465"
"12001031846 ","53680","6124"
"12001031856 ","42183","6149"
"12001031947 ","29474","5441"
"12001032121 ","37703","5525"
"12001032150 ","37049","9439"
"12001032190 ","37143","9418"
"12001032473 ","42454","6131"
"12001032658 ","40123","9543"
"12001032768 ","29375","9241"
"12001032806 ","36094","102197"
"12001032932 ","134994","5877"
"12001032990 ","673","5849"
"12001033020 ","46519","5510"
"12001033219 ","42824","6423"
"12001033400 ","36858","9413"
"12001033403 ","37757","5437"
"12001033481 ","35341","106066"
"12001033507 ","57585","6103"
"12001033674 ","40297","5540"
"12001033723 ","36083","9213"
"12001033885 ","22","9260"
"12001034147 ","40357","106095"
"12001034208 ","37282","9340"
"12001034247 ","37102","9411"
"12001034330 ","57544","100891"
"12001034341 ","37585","9474"
"12001034365 ","42744","6221"
"12001034509 ","37585","9474"
"12001034823 ","57544","100891"
"12001034846 ","57542","5771"
"12001034846 ","57542","104334"
"12001034996 ","29470","5433"
"12001035196 ","36779","9393"
"12001035226 ","42824","6423"
"12001035266 ","37571","101498"
"12001035321 ","42791","6316"
"12001035374 ","35407","9499"
"12001035401 ","45786","9322"
"12001035423 ","36556","104544"
"12001035449 ","29592","9519"
"12001035555 ","37916","9186"
"12001035678 ","42750","6234"
"12001035687 ","42771","6300"
"12001035689 ","36223","103979"
"12001036326 ","29887","1002"
"12001036394 ","10381","1002"
"12001036465 ","45825","100829"
"12001036474 ","40093","9514"
"12001036760 ","45641","9164"
"12001036863 ","42816","6384"
"12001036884 ","47290","101801"
"12001037105 ","83","9299"
"12001037206 ","37592","9490"
"12001037245 ","40091","9515"
"12001037362 ","47289","5836"
"12001037369 ","41473","5867"
"12001037581 ","29652","5827"
"12001037607 ","673","5849"
"12001037801 ","29464","9498"
"12001037858 ","169","9305"
"12001037887 ","22","9260"
"12001037952 ","36230","9314"
"12001038187 ","42197","6153"
"12001038189 ","47276","5835"
"12001038206 ","37769","102123"
"12001038269 ","37592","9490"
"12001038283 ","29425","9391"
"12001038335 ","36291","9323"
"12001038387 ","37590","9484"
"12001038613 ","83","9299"
"12001038630 ","36221","9233"
"12001038686 ","37765","5450"
"12001038694 ","42337","6167"
"12001038698 ","57539","5760"
"12001038750 ","42744","6221"
"12001039210 ","37585","9474"
"12001039245 ","135373","9319"
"12001039307 ","36221","9233"
"12001039393 ","57539","5760"
"12001039544 ","41152","103439"
"12001039676 ","35330","6434"
"12001039691 ","36983","9445"
"12001039853 ","42805","6348"
"12001040059 ","29375","9241"
"12001040078 ","47029","9370"
"12002000164 ","41174","103581"
"12002000219 ","29890","9223"
"12002000261 ","40093","9514"
"12002000510 ","35714","9155"
"12002000577 ","37600","9505"
"12002000721 ","36210","9279"
"12002000726 ","36982","9440"
"12002000806 ","46672","9548"
"12002000849 ","83","9299"
"12002000860 ","45938","9328"
"12002001039 ","33879","1002"
"12002001160 ","37321","9379"
"12002001204 ","57544","100891"
"12002001232 ","29396","9329"
"12002001287 ","36982","9440"
"12002001507 ","35389","9383"
